Product Name,Supplier,Review Text,Sentiment
Rubber Sheets,Sampige Industries,The quality of the material could have been better.,Neutral
Batteries,Sundaram Auto,"The product is just okay, didn't experience any major issues.",Negative
Spark Plug,Kaveri Automotive,"This part is good, but it took longer to arrive than expected.",Negative
Fuel Pump,Prakash Auto Suppliers,"The product is just okay, didn't experience any major issues.",Negative
Plastic Components,Sundaram Auto,"It works fine, nothing extraordinary but does the job.",Positive
Radiator,Bangalore Auto Parts,The quality of the material could have been better.,Negative
Timing Belt,Bharat Components,"This product is excellent, highly durable and works perfectly.",Negative
Copper Wire,Sampige Industries,"This part is good, but it took longer to arrive than expected.",Negative
Exhaust System,Nandi AutoHub,"This product is excellent, highly durable and works perfectly.",Positive
Plastic Components,Nandi AutoHub,"This product is excellent, highly durable and works perfectly.",Positive
Tires,Nandi AutoHub,"It works fine, nothing extraordinary but does the job.",Negative
Radiator,Balaji Supplies,The quality of the material could have been better.,Neutral
Batteries,Gokul Enterprises,"Very poor quality, completely disappointed.",Neutral
Copper Wire,Prakash Auto Suppliers,Great value for the price! I'm very satisfied with the purchase.,Positive
Headlights,Gokul Enterprises,"Very poor quality, completely disappointed.",Positive
Brake Pads,Prakash Auto Suppliers,The quality of the material could have been better.,Negative
Plastic Components,Sampige Industries,"This product is excellent, highly durable and works perfectly.",Positive
Steering Wheel,Vishnu AutoTech,The quality of the material could have been better.,Negative
Gearbox,Nandi AutoHub,"This product is excellent, highly durable and works perfectly.",Neutral
Gearbox,Sampige Industries,"Very poor quality, completely disappointed.",Negative
Headlights,Kaveri Automotive,"This product is excellent, highly durable and works perfectly.",Neutral
Brake Pads,Nandi AutoHub,"Overall a decent experience, though the price is a bit high.",Neutral
Radiator,Nandi AutoHub,"This part is good, but it took longer to arrive than expected.",Positive
Car Engine,Mysore Motors,"Very poor quality, completely disappointed.",Neutral
Oil Filter,Sampige Industries,I would definitely recommend this product to others.,Negative
Car Engine,Nandi AutoHub,"It works fine, nothing extraordinary but does the job.",Positive
Batteries,Vishnu AutoTech,"This part is good, but it took longer to arrive than expected.",Positive
Car Engine,Gokul Enterprises,I would definitely recommend this product to others.,Neutral
Exhaust System,Sundaram Auto,"This product is excellent, highly durable and works perfectly.",Negative
Copper Wire,Sri Ganesh Enterprises,"Very poor quality, completely disappointed.",Neutral
Car Engine,Nandi AutoHub,"The product is just okay, didn't experience any major issues.",Negative
Radiator,Balaji Supplies,"This product is excellent, highly durable and works perfectly.",Positive
Clutch Plate,Nandi AutoHub,"The product is just okay, didn't experience any major issues.",Positive
Oil Filter,Shakti Parts Distributors,"It works fine, nothing extraordinary but does the job.",Negative
Clutch Plate,Sundaram Auto,"Overall a decent experience, though the price is a bit high.",Negative
Exhaust System,Bangalore Auto Parts,"It works fine, nothing extraordinary but does the job.",Negative
