job_card_date,invoice_line_text,material,supplier_name,review_text
30-05-2017,Fuel Tank,Aluminum,Maruthi Auto Parts,"Great product, but it took longer to arrive than expected."
31-05-2017,Coolant Pipe,Plastic,Jayam Vehicle Components,"Very poor quality, do not recommend. Broke within a week of use."
31-05-2017,Exhaust Pipe,Steel,Durga Motors,"Worst purchase ever, broke after one week. Very disappointed."
31-05-2017,Fuel Tank,Aluminum,Vidhyarthi Auto Solutions,"Not as expected, needs improvement. The quality could be better."
31-05-2017,Rubber Seal,Rubber,Venkateshwara Motors,"Average product, but works fine for basic needs. Could be sturdier."
31-05-2017,Brake Disc,Steel,Sri Lakshmi Radiators,"Received the item late, but it works fine. A little disappointed with the delay."
31-05-2017,Coolant Pipe,Plastic,Saraswathi Auto Works,"Good quality, but a bit expensive compared to others."
31-05-2017,Brake Disc,Steel,Jayam Vehicle Components,Not impressed. The part started rusting after a few weeks of use.
31-05-2017,Side Mirror Cover,Plastic,Techno Car Repairs,"Quality is okay, but it could be better. Not as durable as expected."
31-05-2017,Side Mirror Cover,Plastic,Sree Krishna Motors,"Great product, but it took longer to arrive than expected."
31-05-2017,Dashboard Cover,Plastic,Rajesh Auto Suppliers,"Great service, product works perfectly. Highly satisfied with the purchase."
31-05-2017,Brake Disc,Steel,Anand Auto Services,"Average product, but works fine for basic needs. Could be sturdier."
31-05-2017,Rubber Seal,Rubber,Prabha Auto Parts,Very happy with this purchase! It fits my car perfectly and works smoothly.
31-05-2017,Engine Cover,Aluminum,Kaveri Engine Parts,Good value for money. Would definitely buy again from this seller.
31-05-2017,Wheel Rim,Steel,Sree Krishna Motors,"Amazing performance, highly recommend! A must-buy for all car owners."
31-05-2017,Car Battery Case,Plastic,Techno Car Repairs,"Works as expected, but I thought it would last longer."
31-05-2017,Rubber Seal,Rubber,Anand Auto Services,"It's okay, not great. It did the job, but I expected more durability."
31-05-2017,Side Mirror Cover,Plastic,Raghavendra Auto Parts,Not impressed. The part started rusting after a few weeks of use.
31-05-2017,Brake Disc,Steel,Ramesh Auto Traders,Very happy with this purchase! It fits my car perfectly and works smoothly.
31-05-2017,Fuel Tank,Aluminum,Vishnu Auto Engineers,"Not as expected, needs improvement. The quality could be better."
31-05-2017,Side Mirror Cover,Plastic,Ravi Auto Engineers,"Works as expected, but I thought it would last longer."
31-05-2017,Engine Cover,Aluminum,Vishnu Auto Engineers,This part fits perfectly and works like a charm. Totally recommend it!
31-05-2017,Brake Disc,Steel,Durga Motors,"Not as expected, needs improvement. The quality could be better."
31-05-2017,Exhaust Pipe,Steel,Shree Durga Auto Solutions,"Worst purchase ever, broke after one week. Very disappointed."
31-05-2017,Engine Cover,Aluminum,Ravi Auto Engineers,"Amazing performance, highly recommend! A must-buy for all car owners."
31-05-2017,Engine Cover,Aluminum,Kaveri Engine Parts,A great product at an affordable price. Would recommend to others.
31-05-2017,Car Battery Case,Plastic,Lakshmi Vehicle Components,Not impressed. The part started rusting after a few weeks of use.
31-05-2017,Rubber Seal,Rubber,Shree Durga Auto Solutions,"Product works fine, good for the price. Would buy again."
31-05-2017,Side Mirror Cover,Plastic,Rajesh Auto Suppliers,"Great product, but it took longer to arrive than expected."
31-05-2017,Engine Cover,Aluminum,Vidhyarthi Auto Solutions,"Satisfactory, meets the needs. Could be better in terms of fitment."
31-05-2017,Brake Disc,Steel,Shree Durga Auto Solutions,"Great service, product works perfectly. Highly satisfied with the purchase."
31-05-2017,Fuel Tank,Aluminum,Sri Lakshmi Radiators,"Very poor quality, do not recommend. Broke within a week of use."
31-05-2017,Coolant Pipe,Plastic,Ashwini Auto Parts,Absolutely perfect! Everything fits and functions as it should.
31-05-2017,Radiator,Aluminum,Jayam Vehicle Components,"Great product, but it took longer to arrive than expected."
31-05-2017,Dashboard Cover,Plastic,Kaveri Engine Parts,"Not bad, but the price could be reduced a little. It's functional, though."
31-05-2017,Car Battery Case,Plastic,Omkar Auto Traders,A great product at an affordable price. Would recommend to others.
31-05-2017,Car Battery Case,Plastic,Anand Auto Services,"Pretty good. It works well, but not as robust as other brands."
31-05-2017,Side Mirror Cover,Plastic,Nandini Automotive Services,This part fits perfectly and works like a charm. Totally recommend it!
31-05-2017,Coolant Pipe,Plastic,Vishnu Auto Engineers,"Excellent product, very durable! Worth every penny."
31-05-2017,Coolant Pipe,Plastic,Sri Lakshmi Radiators,"Product works fine, good for the price. Would buy again."
31-05-2017,Wheel Rim,Steel,Rajesh Auto Suppliers,Absolutely perfect! Everything fits and functions as it should.
01-06-2017,Coolant Pipe,Plastic,Anand Auto Services,"Average product, but works fine for basic needs. Could be sturdier."
01-06-2017,Exhaust Pipe,Steel,Ramesh Auto Traders,"Not bad, but the price could be reduced a little. It's functional, though."
01-06-2017,Rubber Seal,Rubber,Venkateshwara Motors,"Not bad, but the price could be reduced a little. It's functional, though."
01-06-2017,Exhaust Pipe,Steel,Ramesh Auto Traders,Good value for money. Would definitely buy again from this seller.
01-06-2017,Car Battery Case,Plastic,Shakti Automotive,"Pretty good. It works well, but not as robust as other brands."
01-06-2017,Car Battery Case,Plastic,Ashwini Auto Parts,"Quality is okay, but it could be better. Not as durable as expected."
